sex,minAge,age,country,location,LHML,LHEB,LHHD,LHMLD,LHAPD,RHML,RHEB,RHHD,RHMLD,RHAPD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFAB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFAB,RFHD,RFMLD,RFAPD,LTML,LTPB,LTMLD,LTAPD,RTML,RTPB,RTMLD,RTAPD,BIB,LIBL,RIBL,LAcH,RAcH
male,25,25-30,Australia,Australia,298,51,39.81,21.04,20.13,294,51,38.99,20.01,19.68,227,14.17,10.6,227,13.27,11.34,399,397,66.5,55.33,39.85,22.89,26.18,400.5,397,67,55.31,39.87,22.41,25.82,354,61,27.35,25.61,360,61.5,25.42,24.54,239,140,137,45.21,44.4
male,25,25-30,Australia,Australia,317,56,41.5,17.99,19.61,319,58,41.74,19.49,20.4,251,12.68,11.76,252.5,13.99,12.72,449,446,74.5,67.23,42.23,24.26,26.93,449,446,75,69.36,42.61,24.33,26.16,397.5,68,19.94,24.84,396,69,21.76,24.88,233,134,135,47.49,48.03
male,25,25-30,Australia,Australia,325.5,61.5,43.07,20.6,22.36,328.5,62,45.34,21.46,23.59,244,16.35,14.06,247,16.76,13.97,469,462.5,77,70.46,44.8,25.86,31.5,465,461,77,67.19,44.61,26.14,32.24,393,73,23.64,28.61,391.5,76,24.38,29.29,262,145,144,49.73,48.97
female,25,25-30,Australia,Australia,318,50,36.29,16.47,17.66,315,49,36.73,17.31,17.77,227,9.8,9.21,231,10.21,9.46,431,429,69,61.44,37.72,21.4,26.69,426.5,424,70,61.71,37.06,22.09,26.88,371,63,21.32,23.63,373,63,26.56,29.61,225,145,144,42.17,42.33
female,25,25-30,Australia,Australia,,,,,,,,,,,,,,,,,445,441.5,64,57.25,38.87,23.83,23.57,442,438,68,57.38,38.64,23.8,22.58,379,58,18.77,20.84,378,59,17.86,20.54,242,134,134,44.47,42.92
male,30,30-40,Australia,Australia,324,53.5,42.39,18.9,20.98,328,59,43.83,19.11,23.2,245,13.89,11.07,254,15.13,13.45,451,449.5,73,62.85,41.43,24.92,27.57,448,445.5,74,63.01,40.23,25.5,25.5,399,65,21.41,26.43,399,66,22.56,23.16,237.5,144,146,46.78,46.14
male,30,30-40,Australia,Australia,343,63,45.47,25.06,24.14,343,63,45.6,23.3,25.16,269,18.35,14.01,268,16.88,15.68,473,471,81,73.96,47.2,26.37,29.72,476,472,80,74.43,45.51,27.57,30.71,397,78,24.41,30.53,,,,,257,156,154,53.18,53.91
male,30,30-40,Australia,Australia,336,55,43.47,19.29,22.68,338,59.5,44.43,22.35,22.28,254,13.75,12.39,253,15.35,13.47,485.5,477.5,78,70.2,43.16,24.16,27.84,487,475,81,68.02,44.02,23.27,26.19,382,73.5,25.4,26.95,383,72.5,25.88,25.05,235,146,146,49.58,48.39
male,30,30-40,Australia,Australia,330,58,42.6,17.65,18.3,341,60,43.7,19.68,19.44,258,14.37,11.2,254,13.91,10.78,443,442,74.5,65.47,45.3,24.75,29.11,440.5,435,80,68.96,44.4,26.56,26.55,370.5,70,23.31,29.41,371,69,24.07,26.97,251,150,151,50.5,51.47
male,30,30-40,Australia,Australia,325,60,43.05,18.82,21.36,329.5,60,44.79,21.42,23.47,239,17.71,11.71,240,17.18,13.28,472,467,80,67.8,43.73,25.27,31.06,457,450,76,65.79,42.82,24.15,32.16,398,70,25.84,30.5,,,,,239.5,143,143,48.74,48.25
male,30,30-40,Australia,Australia,295.5,57,46.7,17.52,18.82,296,58,46.4,17.85,18.47,213,13.61,9.46,,,,411,408,72.5,65.3,45,24.66,26.13,413,410.5,73,65.34,45.6,24.04,25.53,323,66.5,18.16,24.86,328,66.5,19.56,22.17,251,150,150,47.82,49.1
male,30,30-40,Australia,Australia,318,51,38.28,16.61,17.67,319,52,39.37,17.73,17.65,249,13.13,11.14,253,13.89,11.37,444,440,66,55.63,40.61,26,25.93,443,438,68,56.3,39.46,25.81,27.21,373,59,21.06,27.48,374,62,19.74,27.3,252,146,149,45.14,44.43
male,30,30-40,Australia,Australia,332,65,46.77,24.5,24.41,329,66.5,46.88,27.21,24.89,272,16.48,13.06,272,18.87,13.39,462,457,82,71.2,46.48,26.88,31.52,462,458,81,69.2,45.57,26.32,31.18,398.5,73,26.54,24.51,401,70.5,25.99,24.58,242,150,151,49.89,48.09
male,30,30-40,Australia,Australia,340.5,64,43.98,27.14,25.8,341,62.5,44.59,25.93,25.73,273,18.1,13.89,272,18.99,14.13,494,490.5,84,74.78,45.56,25.67,34.28,494,491,85,74.38,44.72,25.94,33.92,433,80,27.47,30.9,444,78,28.84,31.16,251,158,156,51.39,51.28
male,30,30-40,Australia,Australia,293,61,44.34,19.45,18.31,292,58,44.37,20.28,18.26,233,14,11.37,233,13.43,11.9,419,414,74,63.35,45.76,24.19,24.64,416,413,75,65.88,46.13,24.04,25.4,346.5,66,20.42,24.51,345.5,68,21.45,23.39,254,148,146,50.23,50.61
male,30,30-40,Australia,Australia,294,58,43.84,22.72,20.8,300,57.5,43.84,20.71,20.86,,,,,,,423,420.5,75,66.72,43.09,24.64,27.2,417,415,74,64.12,44.61,24.18,25.95,334,67,21.4,25.06,328,70,20.84,23.24,235.5,148,146,48.83,49.52
male,30,30-40,Australia,Australia,316.5,62.5,44.75,22.17,22.44,316,66,45.55,23.2,22.77,233.5,16.39,13.04,241,16.96,13.64,439,433,83,73.87,45.64,27.73,30.44,432,429,84,74.11,45.41,28.14,31.19,370,76,24.18,31.27,372,77,24.12,32.46,266,,147,,49.6
female,30,30-40,Australia,Australia,308,49.5,36.83,18,17.06,308,52,36.36,18.04,18.71,233,13.25,10.48,233,13.75,10.64,421,419,67,57.75,36.55,21.73,25.44,420,416.5,67,58.9,36.29,21.38,25.47,354,62,20.03,24.28,352,63,20.35,24.65,250.5,137,136,42.11,42.13
female,30,30-40,Australia,Australia,310,57,40.21,19.38,19.8,307,59.5,41.67,21.37,21.46,238.5,12.05,11.52,243.5,13.95,12.03,445,441.5,77,70.27,43.04,21.94,30.8,442.5,440,76,67.21,42.85,22.73,27.92,374,72,22.31,25.6,373,72,21.38,23.73,225,127,129,50.42,47.21
male,40,40-50,Australia,Australia,318,56.5,40.33,21.18,23.07,,,,,,250,14.57,13.96,,,,430,426,72.5,63.95,40.65,23.86,31.46,431,429,71,62.88,40.43,24.32,31.75,380,68,23.19,28.01,383,68,23.52,28.05,251,145,147,46.71,46.73
male,40,40-50,Australia,Australia,317,60,43.15,19.96,19.23,316,61,,19.94,20.77,250,13.27,11.24,255,14.38,11.46,461,457,73,67.11,40.02,22.36,28.25,458,453,75,69.15,40.55,21.95,27.42,384,68,19.65,25.33,381,68,19.3,24.53,233,130,135,46.76,45.44
male,40,40-50,Australia,Australia,,,,,,322,59,43.01,21.11,21.83,,,,269.5,15.92,14.02,467,463.5,77,66.04,46.14,28.43,31.53,467,464,78,67.16,45.92,27.65,32.4,397,73,23.83,30.42,389,70,22.57,27.25,267.5,155,153,50.8,51.93
male,40,40-50,Australia,Australia,314,57,43.31,20.68,19.63,314,59,44.83,20.96,19.43,253,15.18,12.7,255,16.29,12.69,443,440.5,72,63.06,44.19,23.09,25.99,444.5,440.5,75,66.38,46.15,23.82,26.64,365,69,20.4,25.44,366,72,21.69,25.09,250,143,145,50.33,54
male,40,40-50,Australia,Australia,303,59,44.32,20.2,20.37,306,59,43.6,19.83,19.84,241.5,14,12.59,244.5,13.69,12.86,430,427,76,65.54,42.12,27.19,26.61,418.5,417,77,65.87,42.71,26.7,28.24,351,67.5,22.79,26.65,349,69,21.43,25.01,258,141,142,45.98,46.71
female,40,40-50,Australia,Australia,296.5,51,38.84,15.79,18.95,299,51,38.84,16.56,20.42,230,14.58,11.4,231,18.06,13.63,431,429,70,59.04,38.9,27.87,28.2,428,421,70,58.57,38.44,22.33,23.63,362,64,31,33.31,361,61,27.83,34.1,242,135,136,41.55,43.23
female,50,50+,Australia,Australia,319,52,38.61,16.72,17.67,,,,,,241,13.89,9.85,,,,437,431.5,73,62.67,40.1,24.3,26,435,430.5,72.5,61.38,40.01,25.17,26.09,369,63,21.44,25.31,369,62,20.6,24.08,235,147,149,44.96,44.31
female,50,50+,Australia,Australia,315,56,40.74,18.17,19.83,306,56,40.74,21.68,22.07,253,13.75,11.13,256,14.12,11.7,439,435,72,62.89,40.08,26.19,31.61,441.5,439,72,63.79,39.7,24.8,31.33,369,70,23.28,25.57,369,68,21.62,24.69,244,141,144,45.74,45.77
female,55,55,Australia,Australia,285,43,36.66,14.13,15.82,296,47,36.5,14.99,16.31,226,11.69,9.41,228,13.05,9.9,418,416,63,54.94,36.28,22.38,24.19,420,417,65,52.92,38.52,23.89,23.57,349,59,19.55,22.8,350,60,18.56,22.19,218,,132,41.26,42.45
female,20,20-22,Austria,Austria,283,53,40.03,20.64,18.78,,,,,,,,,223.5,14.44,10.41,407,401,72.5,62.06,37.6,23.79,22.23,,,,,,,,339.5,63.5,18.92,23.76,337,62,18.71,22.82,258,153,,43.45,44.79
male,22,22-25,Austria,Austria,,,,,,308,68,48.47,22.74,24.03,,,,226,17.37,12.41,,,,,,,,448,439,87,72.25,49.61,26.49,30.71,,,,,347,75,22.46,26.1,276,164,166,56.09,56.69
male,22,22-25,Austria,Austria,295,57.5,43.91,22.1,19.95,297.5,63,46.77,23.47,22.43,243,17.98,12.06,246,19.1,12.49,432,427.5,80.5,71.3,46.48,25.89,30.24,431.5,427.5,80,68.85,47.47,25.3,30.42,368,72,24.43,27.52,367.5,73,24.89,27.86,270,157,156,50.78,51.2
male,25,25-30,Austria,Austria,320,66.5,45.73,22.31,21.41,328,68,47.34,23.15,22.27,257,15.4,12.84,259,16.9,13.39,456,453,82.5,70.39,41.66,30.46,28.55,,,,,,,,389,78,25.37,26.75,391,77,27.51,26.33,,,176,,54.37
male,25,25-30,Austria,Austria,341,62.5,47.46,20.5,19.67,347,63.5,47.28,22.27,20.63,261.5,14.06,13.22,260.5,14.54,12.83,464,464,81,71.11,46.28,32,28.07,465,464.5,80,71.34,44.96,31.47,27.03,388,73,24.5,24.02,387.5,72.5,25.71,25.07,294,168,165,52.78,51
male,25,25-30,Austria,Austria,343,71,48.26,24.82,24.99,343,72,50.38,26.11,26.15,269.5,19.58,14.45,269.5,19.21,14.16,509,505.5,86,74.45,51.34,30.86,33.58,499,495,86.5,74.63,51.54,30.98,34.33,416,78.5,26.83,30.26,414.5,79.5,26.35,28.93,283,179,175,57.89,56.65
male,25,25-30,Austria,Austria,318,67,52.13,20.43,20.78,323,67.5,51.89,20.75,20.5,253,15.43,11.5,254,15.99,11.99,,,,,,,,456,451.5,79,63.66,49.68,28.93,27.11,392,70,21.95,24.48,386,69,21.25,22.39,292,164,160,57.64,55.16
male,25,25-30,Austria,Austria,340.5,65,43.87,20.46,21.59,342,66.5,45.24,22.07,23.93,262,13.3,11.19,268.5,13.18,12.53,479.5,476,79,71.23,47.7,28.67,30.99,481,474,81.5,69.38,47.15,27.85,29.98,,,,,,,,,273,,168,52.73,52.76
male,25,25-30,Austria,Austria,306,62.5,46.41,21.8,23.06,307,63.5,45.05,23.51,23.03,240,16.9,12.58,242,18.13,12.61,433,431.5,79,70.14,46.97,28.36,27.23,430,427,81,68.8,47.56,28.08,27.69,355.5,74,23.73,28.16,,,,,265,154,156,53.07,53.98
male,25,25-30,Austria,Austria,335,63,46.81,22.15,23.4,337,62.5,48.29,23.63,25.05,266,17.43,13.01,270,19.32,13.47,462,457,86,77.14,47.97,30.89,30.85,458,454.5,85.5,76.41,48.87,29.52,30.66,382,79,22.52,30.37,383,81,22.02,30.01,272.5,173,171,55.57,55.88
male,25,25-30,Austria,Austria,316.5,59,45.93,18.36,19.26,326,67,46.78,18.99,21.36,249,12.55,10.8,,,,451,444.5,77,73.54,44.41,25.03,25.94,458,451,78,68.5,45.05,24.67,26.89,371,72,22.32,28.77,379.5,74,20.61,26.78,279,161,161,49.29,51.44
male,25,25-30,Austria,Austria,307,57,39.16,20.89,19.23,315,58,40.79,20.24,18.42,230.5,13.7,10.65,232,14.2,10.62,433.5,427,76,64.2,42.78,26.93,23.72,428.5,420,75,64.47,42.09,23.39,22.74,352,67,21.78,23.02,352,69,21.04,23.37,266,158,156,48.93,48.3
